Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	turnover
600	-160.3757	-31.46503	-128.9107	0.2773148	-0.0008127578	0.08515233	0.3206679	17	42.69468	0.08433957	30.8703	33.0129	27.8057	23.9737	21.7509	22.8735	22.3717	23.1412	13.7904	14.2047	3.42387	5.62935	9.57644	8.14104	22.9818	22.6675	22.4231	23.6012	30.3737	13.569	34.62	23.8447	1.009637
610	-170.4739	-31.46503	-139.0089	0.2658235	0.01985592	0.05679961	0.1781176	16	44.00054	0.07665552	29.0181	31.264	27.8057	27.3078	21.7509	22.9306	22.3717	23.1412	13.7904	14.2047	4.2255	5.69409	9.59328	8.14104	23.1213	22.6675	22.7595	25.7245	29.8399	13.569	35.4966	23.2453	0.7409721
620	-168.7602	-31.46503	-137.2952	0.4147681	0.02503283	0.03871591	0.1893822	16	45.21946	0.06374874	28.412	31.264	27.8057	21.2975	21.7509	22.9306	22.3717	22.0681	13.7904	13.9008	5.4807	6.27752	10.2407	9.00739	23.1213	22.8351	22.175	24.7011	30.366	13.569	35.4966	23.6688	0.6073204
630	-165.8365	-31.46503	-134.3715	0.2798489	0.01938456	0.07684481	0.2333378	15	44.49822	0.09622937	28.247	30.5837	27.8057	22.1079	21.7509	22.3436	22.3717	22.0681	13.7904	13.9008	5.4807	6.27752	10.2407	10.0648	22.5455	21.8949	22.222	23.8691	29.6199	13.569	34.8753	24.2066	0.7985588
640	-170.0099	-31.46503	-138.5449	0.1116283	0.06100061	0.1253779	0.2120176	14	43.75005	0.1863785	24.2587	30.8082	27.8057	23.2235	21.7509	22.0912	22.3717	22.0681	13.7904	13.9008	5.52857	6.27752	10.2407	8.00799	23.4508	21.827	22.6895	24.7855	32.5121	13.569	32.79	24.2066	0.6727058
650	-165.1329	-31.46503	-133.6678	0.03856404	-0.03607147	0.173623	0.1907434	15	42.77391	0.1375515	24.165	31.5606	27.8057	23.1874	21.7509	22.6291	21.3116	22.0681	13.7904	13.9008	5.52857	6.38516	10.2407	9.03297	23.4508	22.1607	23.1557	27.8479	32.7912	15.9132	35.334	23.2498	1.26224
660	-172.6082	-31.46503	-141.1431	0.04083791	-0.03063272	0.2502826	0.1137349	15	41.6401	0.2196499	24.6131	31.5606	27.8057	23.1728	21.7509	22.9304	21.3116	22.0681	13.7904	13.9008	6.12102	6.46107	9.66387	8.0681	23.4508	23.2974	23.0903	25.0475	31.5746	15.9132	32.6515	28.227	1.139462
670	-163.1212	-31.46503	-131.6562	0.02458258	0.04971159	0.1895781	0.2393926	16	42.18095	0.2392897	24.3496	27.6154	27.8057	23.0847	21.7509	22.9304	21.3116	22.0681	13.7904	13.9008	5.06819	6.46107	9.66387	8.6205	23.4508	23.2954	23.0903	25.1229	31.5746	22.0197	33.057	28.227	0.7922536
680	-160.2945	-31.46503	-128.8294	0.008149049	-0.0002727413	0.1511788	0.2124425	16	41.82605	0.1509061	24.3496	30.5078	27.8057	21.5028	21.7509	22.9304	21.3116	22.0681	13.7904	13.9008	2.83094	6.46107	9.66387	7.88756	23.4508	22.3066	23.0903	25.8258	28.8174	22.0197	33.057	30.0607	1.001807
690	-156.9837	-31.46503	-125.5186	0.01825887	0.03563896	0.09580603	0.279268	17	40.92828	0.131445	24.48	32.8384	27.8057	21.4762	21.7509	23.1694	21.3116	22.0658	13.7904	13.9008	2.83094	5.81787	11.159	7.88756	23.4508	22.3066	23.1751	28.3311	31.6314	22.0197	31.4497	30.3535	0.7288679
